seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,11,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,11,GRIM,3.01,2.985,0.02499999999999991
0,11,Davis: 10,3.01,2.985,0.02499999999999991
0,11,Graaskamp: 0.05,3.48,2.03,1.4500000000000002
0,11,Downing,1.125,1.05,0.07499999999999996
0,11,"Feld: 1.0, 0.5, 200",1.565,1.79,-0.2250000000000001
0,11,Joss: 0.9,1.735,2.01,-0.2749999999999997
0,11,Tullock,1.605,1.68,-0.07499999999999996
0,11,Anonymous,2.885,0.61,2.275
0,11,Random: 0.5,2.38,1.48,0.8999999999999999
0,12,Cu,3.01,2.985,0.02499999999999991
0,12,Du,0.975,1.1,-0.1250000000000001
0,12,Tit For Tat,3.01,2.985,0.02499999999999991
0,12,spiteful,3.01,2.985,0.02499999999999991
0,12,soft_majo,3.01,2.985,0.02499999999999991
0,12,hard_majo,2.99,2.99,0.0
0,12,per_cd,2.685,1.31,1.375
0,12,per_ccd,3.29,1.19,2.1
0,12,per_ddc,2.29,0.765,1.525
0,12,mistrust,2.99,2.99,0.0
0,12,WSLS,3.01,2.985,0.02499999999999991
0,12,TFTT,3.01,2.985,0.02499999999999991
0,12,hard_tft,3.01,2.985,0.02499999999999991
0,12,slow_tft,3.01,2.985,0.02499999999999991
0,12,GrdTFT,3.01,2.985,0.02499999999999991
0,12,prober,3.005,2.98,0.02499999999999991
0,12,mem2,3.01,2.985,0.02499999999999991
0,12,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,12,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,12,Nydegger,3.01,2.985,0.02499999999999991
0,12,Grofman,3.01,2.985,0.02499999999999991
0,12,Shubik,3.01,2.985,0.02499999999999991
0,12,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,12,GRIM,3.01,2.985,0.02499999999999991
0,12,Davis: 10,3.01,2.985,0.02499999999999991
0,12,Graaskamp: 0.05,3.395,2.145,1.25
0,12,Downing,1.125,1.05,0.07499999999999996
0,12,"Feld: 1.0, 0.5, 200",1.835,2.235,-0.3999999999999999
0,12,Joss: 0.9,1.415,1.59,-0.17500000000000004
0,12,Tullock,1.565,1.465,0.09999999999999987
0,12,Anonymous,2.87,0.62,2.25
0,12,Random: 0.5,3.095,0.57,2.5250000000000004
0,13,Cu,3.01,2.985,0.02499999999999991
0,13,Du,0.975,1.1,-0.1250000000000001
0,13,Tit For Tat,3.01,2.985,0.02499999999999991
0,13,spiteful,3.01,2.985,0.02499999999999991
0,13,soft_majo,3.01,2.985,0.02499999999999991
0,13,hard_majo,2.99,2.99,0.0
0,13,per_cd,2.685,1.31,1.375
0,13,per_ccd,3.29,1.19,2.1
0,13,per_ddc,2.29,0.765,1.525
0,13,mistrust,2.99,2.99,0.0
0,13,WSLS,3.01,2.985,0.02499999999999991
0,13,TFTT,3.01,2.985,0.02499999999999991
0,13,hard_tft,3.01,2.985,0.02499999999999991
0,13,slow_tft,3.01,2.985,0.02499999999999991
0,13,GrdTFT,3.01,2.985,0.02499999999999991
0,13,prober,3.005,2.98,0.02499999999999991
0,13,mem2,3.01,2.985,0.02499999999999991
0,13,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,13,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,13,Nydegger,3.01,2.985,0.02499999999999991
0,13,Grofman,3.01,2.985,0.02499999999999991
0,13,Shubik,3.01,2.985,0.02499999999999991
0,13,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,13,GRIM,3.01,2.985,0.02499999999999991
0,13,Davis: 10,3.01,2.985,0.02499999999999991
0,13,Graaskamp: 0.05,3.425,2.15,1.275
0,13,Downing,1.125,1.05,0.07499999999999996
0,13,"Feld: 1.0, 0.5, 200",1.645,1.945,-0.30000000000000004
0,13,Joss: 0.9,2.2,2.5,-0.2999999999999998
0,13,Tullock,1.37,1.37,0.0
0,13,Anonymous,2.685,0.66,2.025
0,13,Random: 0.5,2.905,0.63,2.275
0,14,Cu,3.01,2.985,0.02499999999999991
0,14,Du,0.975,1.1,-0.1250000000000001
0,14,Tit For Tat,3.01,2.985,0.02499999999999991
0,14,spiteful,3.01,2.985,0.02499999999999991
0,14,soft_majo,3.01,2.985,0.02499999999999991
0,14,hard_majo,2.99,2.99,0.0
0,14,per_cd,2.685,1.31,1.375
0,14,per_ccd,3.29,1.19,2.1
0,14,per_ddc,2.29,0.765,1.525
0,14,mistrust,2.99,2.99,0.0
0,14,WSLS,3.01,2.985,0.02499999999999991
0,14,TFTT,3.01,2.985,0.02499999999999991
0,14,hard_tft,3.01,2.985,0.02499999999999991
0,14,slow_tft,3.01,2.985,0.02499999999999991
0,14,GrdTFT,3.01,2.985,0.02499999999999991
0,14,prober,3.005,2.98,0.02499999999999991
